price,suburb,city_name,state,lat,lon
119500,Elizabeth Downs,Adelaide,SA,-34.700562,138.702346
155500,Maylands,Perth,WA,-31.929227,115.898842
170000,Armadale,Perth,WA,-32.143731,115.994765
200000,Stafford,Brisbane,QLD,-27.411872,153.00616
228500,Craigmore,Adelaide,SA,-34.693111,138.720609
280000,Como,Perth,WA,-31.993275,115.873553
320000,Enfield,Adelaide,SA,-34.866973,138.607406
320000,Two Rocks,Perth,WA,-31.489929,115.585888
333000,Bulwer,Brisbane,QLD,-27.074054,153.367996
340000,Nundah,Brisbane,QLD,-27.399599,153.060623
354500,Beechboro,Perth,WA,-31.870624,115.929775
400000,Melton South,Melbourne,VIC,-37.719223,144.556428
445000,Chermside West,Brisbane,QLD,-27.390533,153.016404
450000,Cheltenham,Melbourne,VIC,-37.967333,145.063804
457000,Forest Lake,Brisbane,QLD,-27.6269,152.945295
458000,Granville,Sydney,NSW,-33.860037,151.007112
460000,Rosebud,Melbourne,VIC,-38.371271,144.89912
470000,Caulfield North,Melbourne,VIC,-37.870368,145.024738
485000,Aspley,Brisbane,QLD,-27.362944,153.007889
505000,Berwick,Melbourne,VIC,-38.007873,145.32393
530000,East Victoria Park,Perth,WA,-31.9892,115.901182
570000,West Melbourne,Melbourne,VIC,-37.810897,144.952317
575000,Keysborough,Melbourne,VIC,-38.010438,145.163562
582500,Carseldine,Brisbane,QLD,-27.349173,153.015324
595000,Braddon,Canberra,ACT,-35.265475,149.133592
597000,St Kilda East,Melbourne,VIC,-37.863248,145.008831
605500,Ferny Grove,Brisbane,QLD,-27.397784,152.918534
610000,Willetton,Perth,WA,-32.065049,115.881939
615000,Moorooka,Brisbane,QLD,-27.529461,153.029421
620000,Pakenham,Melbourne,VIC,-38.057651,145.44135
625000,Aspley,Brisbane,QLD,-27.373021,153.021925
635000,Epping,Melbourne,VIC,-37.63428,145.002892
640000,Dandenong North,Melbourne,VIC,-37.955082,145.196718
660000,Lockleys,Adelaide,SA,-34.92569,138.533524
710000,Carrum,Melbourne,VIC,-38.071046,145.132137
720000,Malvern,Melbourne,VIC,-37.854953,145.029545
742000,Quakers Hill,Sydney,NSW,-33.723507,150.898648
785000,Ferntree Gully,Melbourne,VIC,-37.869055,145.271664
827000,McKinnon,Melbourne,VIC,-37.910449,145.027209
831000,Sandhurst,Melbourne,VIC,-38.084899,145.194266
840000,Warriewood,Sydney,NSW,-33.684169,151.295522
850000,Winthrop,Perth,WA,-32.04773,115.825218
855000,Altona North,Melbourne,VIC,-37.838108,144.852922
990000,Penshurst,Sydney,NSW,-33.975867,151.088611
1060000,Padstow Heights,Sydney,NSW,-33.96508,151.030937
1120000,Caulfield North,Melbourne,VIC,-37.872648,145.034966
1123000,Elsternwick,Melbourne,VIC,-37.880265,145.002303
1176500,Edmondson Park,Sydney,NSW,-33.964883,150.857343
1250000,Brunswick East,Melbourne,VIC,-37.769731,144.972338
1250000,Chapel Hill,Brisbane,QLD,-27.489054,152.942206
1525000,Paddington,Brisbane,QLD,-27.45805,153.000818
1600000,Caulfield South,Melbourne,VIC,-37.902115,145.02947
2010000,Chatswood,Sydney,NSW,-33.804434,151.170199
2215000,Crawley,Perth,WA,-31.971218,115.826091
2275000,Caulfield South,Melbourne,VIC,-37.887464,145.024353
2600000,Elsternwick,Melbourne,VIC,-37.892268,145.006864
96000,Elizabeth Downs,Adelaide,SA,-34.694092,138.69867
110000,Hawthorn,Melbourne,VIC,-37.818731,145.041609
140000,Elizabeth North,Adelaide,SA,-34.699466,138.673202
165000,Brisbane City,Brisbane,QLD,-27.472099,153.028461
206000,Armadale,Perth,WA,-32.143469,116.001055
230000,Alberton,Adelaide,SA,-34.859481,138.520151
230000,Ashford,Adelaide,SA,-34.94793,138.572505
255000,Midland,Perth,WA,-31.883348,116.011308
260000,Andrews Farm,Adelaide,SA,-34.669658,138.672988
260000,Brunswick West,Melbourne,VIC,-37.767758,144.949251
265000,Christie Downs,Adelaide,SA,-35.129543,138.486172
265000,Port Kennedy,Perth,WA,-32.353849,115.753495
265000,Seville Grove,Perth,WA,-32.136305,115.986596
268000,West End,Brisbane,QLD,-27.477223,153.006135
270000,Zillmere,Brisbane,QLD,-27.358469,153.037618
275000,Armadale,Perth,WA,-32.147404,116.004268
275000,South Perth,Perth,WA,-31.987075,115.863918
282000,Forest Lake,Brisbane,QLD,-27.630095,152.961698
285000,Mile End,Adelaide,SA,-34.925128,138.567051
295000,Andrews Farm,Adelaide,SA,-34.677461,138.66286
297000,Seaford Meadows,Adelaide,SA,-35.177055,138.478844
300000,Aberfoyle Park,Adelaide,SA,-35.069753,138.609885
300000,Fortitude Valley,Brisbane,QLD,-27.45967,153.032653
300000,Wooloowin,Brisbane,QLD,-27.414563,153.042457
305000,Essendon,Melbourne,VIC,-37.747296,144.907767
305000,Hamilton,Brisbane,QLD,-27.436043,153.073687
305000,Salisbury Plain,Adelaide,SA,-34.7681,138.653208
307000,Greenslopes,Brisbane,QLD,-27.50415,153.041271
308000,Old Reynella,Adelaide,SA,-35.101201,138.542816
310000,Kiara,Perth,WA,-31.879508,115.937892
315000,Paralowie,Adelaide,SA,-34.758375,138.629666
315000,Sherwood,Brisbane,QLD,-27.534319,152.978108
325000,Para Hills,Adelaide,SA,-34.807004,138.652712
325500,Parafield Gardens,Adelaide,SA,-34.78462,138.601265
327000,Pooraka,Adelaide,SA,-34.821144,138.625684
327000,Wanneroo,Perth,WA,-31.76044,115.823897
328000,Christies Beach,Adelaide,SA,-35.132912,138.483792
330000,Blackburn,Melbourne,VIC,-37.819038,145.15093
330000,Penrith,Sydney,NSW,-33.749884,150.70935
330000,Warnbro,Perth,WA,-32.335825,115.765672
333500,Spring Hill,Brisbane,QLD,-27.459978,153.027039
336000,Blakeview,Adelaide,SA,-34.679534,138.7029
343000,Perth,Perth,WA,-31.955096,115.848546
344500,Annerley,Brisbane,QLD,-27.513976,153.029396
350000,Atwell,Perth,WA,-32.150343,115.869198
355000,Clearview,Adelaide,SA,-34.854504,138.612618
355000,Isabella Plains,Canberra,ACT,-35.423305,149.100917
356000,Liverpool,Sydney,NSW,-33.928805,150.922338
357000,Clarkson,Perth,WA,-31.69149,115.723919
357000,Ellenbrook,Perth,WA,-31.787709,115.968502
360000,Cabramatta,Sydney,NSW,-33.893903,150.931905
360000,Cranbourne,Melbourne,VIC,-38.102301,145.269629
363000,Seaford Meadows,Adelaide,SA,-35.178896,138.479357
375000,Lakemba,Sydney,NSW,-33.924857,151.077236
377000,Greenslopes,Brisbane,QLD,-27.508183,153.045316
380000,Harrisdale,Perth,WA,-32.117189,115.938001
380000,Yanchep,Perth,WA,-31.547217,115.632698
383000,Klemzig,Adelaide,SA,-34.878879,138.632032
385000,Franklin,Canberra,ACT,-35.200089,149.14819
390000,Gungahlin,Canberra,ACT,-35.186045,149.137101
390000,Secret Harbour,Perth,WA,-32.401222,115.763883
392000,Darlington,Adelaide,SA,-35.029015,138.558869
395000,Travancore,Melbourne,VIC,-37.785079,144.939092
400000,Heidelberg Heights,Melbourne,VIC,-37.747464,145.049297
400000,Woolloongabba,Brisbane,QLD,-27.489218,153.0285
400833,Brunswick,Melbourne,VIC,-37.774866,144.952802
403000,Bennett Springs,Perth,WA,-31.859399,115.91843
403000,Dianella,Perth,WA,-31.888706,115.860216
405000,Fulham Gardens,Adelaide,SA,-34.918791,138.514973
405000,Willaston,Adelaide,SA,-34.588931,138.732557
409000,Newmarket,Brisbane,QLD,-27.434922,153.006411
410000,Alexander Heights,Perth,WA,-31.830001,115.855566
410000,Bexley,Sydney,NSW,-33.952559,151.115035
410000,Jannali,Sydney,NSW,-34.014319,151.063398
412500,Bruce,Canberra,ACT,-35.237535,149.093622
415000,Acacia Ridge,Brisbane,QLD,-27.584656,153.028301
415000,Canning Vale,Perth,WA,-32.083714,115.908417
418000,Jamisontown,Sydney,NSW,-33.771856,150.674717
420000,Cheltenham,Melbourne,VIC,-37.964867,145.065468
420000,Melton South,Melbourne,VIC,-37.696443,144.57103
420000,Victoria Park,Perth,WA,-31.975596,115.892134
420000,Wandi,Perth,WA,-32.199611,115.862908
424000,Calamvale,Brisbane,QLD,-27.619634,153.037592
425000,Dianella,Perth,WA,-31.885244,115.879072
425000,Lynwood,Perth,WA,-32.043269,115.927
425000,Werribee,Melbourne,VIC,-37.881743,144.673006
429000,Boronia,Melbourne,VIC,-37.862465,145.271225
430000,Bankstown,Sydney,NSW,-33.920205,151.037616
430000,Ryde,Sydney,NSW,-33.81103,151.112972
432000,Laverton,Melbourne,VIC,-37.860525,144.767161
435000,Bentley,Perth,WA,-32.003812,115.929897
435000,Tarneit,Melbourne,VIC,-37.864313,144.655482
437500,Caringbah,Sydney,NSW,-34.042366,151.124793
440000,North Melbourne,Melbourne,VIC,-37.791959,144.944009
440000,Werribee,Melbourne,VIC,-37.891715,144.642276
450000,Hilton,Perth,WA,-32.066432,115.78578
450000,Morley,Perth,WA,-31.885421,115.911374
455000,Kurunjang,Melbourne,VIC,-37.656406,144.589107
455000,Werribee,Melbourne,VIC,-37.876598,144.660052
457000,Narre Warren,Melbourne,VIC,-38.035774,145.316304
460000,Craigieburn,Melbourne,VIC,-37.606305,144.92796
462000,Crib Point,Melbourne,VIC,-38.36223,145.209003
463000,Balwyn North,Melbourne,VIC,-37.785447,145.087773
465000,South Perth,Perth,WA,-31.981198,115.876087
465000,Zillmere,Brisbane,QLD,-27.35988,153.042935
468000,South Yarra,Melbourne,VIC,-37.832262,144.988253
468000,Torrens,Canberra,ACT,-35.373889,149.087976
470000,Dover Gardens,Adelaide,SA,-35.022773,138.538183
476000,Truganina,Melbourne,VIC,-37.84232,144.721154
479000,Marangaroo,Perth,WA,-31.827473,115.848563
480000,Dutton Park,Brisbane,QLD,-27.496595,153.029871
480000,Jindalee,Brisbane,QLD,-27.536276,152.936928
480000,Pakenham,Melbourne,VIC,-38.088162,145.472846
480000,Westmead,Sydney,NSW,-33.806801,150.989388
480000,Wyndham Vale,Melbourne,VIC,-37.899824,144.61396
482000,Footscray,Melbourne,VIC,-37.79870787,144.8885919
484000,Pakenham,Melbourne,VIC,-38.055732,145.512855
485000,Cranbourne West,Melbourne,VIC,-38.11328,145.245644
485000,Walkerville,Adelaide,SA,-34.892077,138.617522
486000,Delahey,Melbourne,VIC,-37.715205,144.773542
487500,Bellbowrie,Brisbane,QLD,-27.563151,152.865054
489000,Upper Mount Gravatt,Brisbane,QLD,-27.558031,153.087509
489700,Brompton,Adelaide,SA,-34.896056,138.574461
491000,Greenacres,Adelaide,SA,-34.869094,138.631869
500000,Forest Lake,Brisbane,QLD,-27.618335,152.974198
500000,Mernda,Melbourne,VIC,-37.611959,145.082237
500000,Wentworth Point,Sydney,NSW,-33.826812,151.079096
502000,Brunswick West,Melbourne,VIC,-37.773943,144.944899
506500,Carrum Downs,Melbourne,VIC,-38.100167,145.188168
510000,Aveley,Perth,WA,-31.787925,115.990205
510000,Carlisle,Perth,WA,-31.982053,115.920406
510000,Greenwood,Perth,WA,-31.825726,115.819428
510000,Maylands,Perth,WA,-31.924829,115.891376
511000,Wyndham Vale,Melbourne,VIC,-37.890375,144.607586
512000,Cranbourne North,Melbourne,VIC,-38.082053,145.283755
512000,Dharruk,Sydney,NSW,-33.750065,150.818162
519000,Marsfield,Sydney,NSW,-33.766163,151.104572
520000,Adelaide,Adelaide,SA,-34.922372,138.599127
525000,Melbourne,Melbourne,VIC,-37.815547,144.952889
525000,Pakenham,Melbourne,VIC,-38.074834,145.498417
525000,Preston,Melbourne,VIC,-37.751502,145.019598
525000,The Gap,Brisbane,QLD,-27.445575,152.937322
527500,Charnwood,Canberra,ACT,-35.194799,149.040124
529750,Wynnum,Brisbane,QLD,-27.450573,153.171053
530000,Hampton Park,Melbourne,VIC,-38.031533,145.248348
530000,Harkness,Melbourne,VIC,-37.652707,144.566178
530000,Narre Warren,Melbourne,VIC,-38.040015,145.31516
530000,Point Cook,Melbourne,VIC,-37.880666,144.715539
535000,Runcorn,Brisbane,QLD,-27.603434,153.074888
537000,Seaford Rise,Adelaide,SA,-35.199354,138.47895
537500,Cranbourne West,Melbourne,VIC,-38.114381,145.23424
539999,Greenslopes,Brisbane,QLD,-27.509331,153.052059
540000,Bayswater,Melbourne,VIC,-37.853623,145.259338
540000,Stafford,Brisbane,QLD,-27.408339,153.010994
540000,Sutherland,Sydney,NSW,-34.026509,151.056898
545000,Doncaster,Melbourne,VIC,-37.79291,145.136412
545000,Mornington,Melbourne,VIC,-38.237505,145.037011
547000,Roxburgh Park,Melbourne,VIC,-37.637071,144.930667
550000,Kew,Melbourne,VIC,-37.81461,145.043708
550000,Upper Ferntree Gully,Melbourne,VIC,-37.891537,145.309764
553000,Caulfield North,Melbourne,VIC,-37.860882,145.011342
560000,Meadow Heights,Melbourne,VIC,-37.655661,144.924124
560000,Mount Gravatt East,Brisbane,QLD,-27.531237,153.082178
560000,Sunshine North,Melbourne,VIC,-37.774943,144.833794
565000,Harrisdale,Perth,WA,-32.12017,115.935157
566000,Stafford Heights,Brisbane,QLD,-27.39812,153.010413
567500,Spring Farm,Sydney,NSW,-34.066865,150.737972
570000,Rockdale,Sydney,NSW,-33.956277,151.135853
571000,Frankston,Melbourne,VIC,-38.151432,145.115123
571000,Kensington,Melbourne,VIC,-37.7972,144.921474
572000,Hadfield,Melbourne,VIC,-37.70438,144.940724
575000,Cranbourne North,Melbourne,VIC,-38.078974,145.294295
575000,Hamilton Hill,Perth,WA,-32.07771,115.775635
575000,Healesville,Melbourne,VIC,-37.659187,145.507246
575000,Somerville,Melbourne,VIC,-38.233139,145.179683
575000,South Wentworthville,Sydney,NSW,-33.828213,150.963319
577000,Claremont Meadows,Sydney,NSW,-33.774018,150.745535
579000,Butler,Perth,WA,-31.637628,115.692156
580000,Beaconsfield,Melbourne,VIC,-38.043104,145.376793
580000,Berwick,Melbourne,VIC,-38.01633,145.334803
580000,Cranbourne West,Melbourne,VIC,-38.093166,145.266854
585000,Blairgowrie,Melbourne,VIC,-38.359383,144.75627
585000,Point Cook,Melbourne,VIC,-37.895289,144.71919
587000,Mount Martha,Melbourne,VIC,-38.271253,145.034522
589000,Kingswood,Sydney,NSW,-33.765182,150.723769
589000,Moorooka,Brisbane,QLD,-27.531811,153.028609
590000,Sunbury,Melbourne,VIC,-37.57809,144.71663
590000,Wembley,Perth,WA,-31.939628,115.806196
591000,Teneriffe,Brisbane,QLD,-27.454928,153.049317
592888,Calamvale,Brisbane,QLD,-27.616971,153.043668
595000,Kurunjang,Melbourne,VIC,-37.667508,144.592848
595000,Somerville,Melbourne,VIC,-38.235031,145.183327
597000,Croydon,Melbourne,VIC,-37.81133,145.275289
597500,Doubleview,Perth,WA,-31.892728,115.780909
600000,Cranebrook,Sydney,NSW,-33.716028,150.722622
600000,Enoggera,Brisbane,QLD,-27.430708,152.987486
601250,Nundah,Brisbane,QLD,-27.400787,153.070845
605000,Rye,Melbourne,VIC,-38.376645,144.799437
